Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi
Maruti,CiazS Petrol,2022,Bangalore,34500,petrol,manual,943000,16467.0
Maruti,Grand VitaraAlpha Smart Hybrid,2023,Bangalore,29000,petrol,manual,1441000,24783.0
Maruti,Alto K10VXi,2016,Bangalore,92000,petrol,manual,309000,5262.0
Tata,NexonXZA Plus Dual Tone Roof AMT Diesel,2019,Bangalore,45500,diesel,automatic,819999,13964.0
Renault,Kwid1.0 RXT,2017,Bangalore,51000,petrol,manual,312000,5313.0
Maruti,S-CrossDelta 1.3,2016,Bangalore,67000,diesel,manual,635000,10813.0
Hyundai,New Santro 1.1Sportz Executive CNG,2022,Bangalore,53000,petrol+cng,manual,580000,9259.0
Honda,WR-VVX MT Petrol,2022,Bangalore,26000,petrol,manual,836000,14236.0
Tata,NexonXMA AMT Diesel,2019,Bangalore,50500,diesel,automatic,749000,12755.0
Maruti,DzireZXi Plus AMT,2018,Bangalore,37500,petrol,automatic,659000,11222.0
Hyundai,i20Sportz 1.2 BS-IV,2011,Bangalore,80000,petrol,manual,283000,20221.0
Toyota,Urban Cruiser HyryderV Hybrid,2024,Bangalore,9500,hybrid,automatic,2077000,35721.0
Renault,Kwid1.0 RXT AMT SCE,2024,Bangalore,4500,petrol,automatic,563000,9587.0
Skoda,Rapid1.6 MPI Elegance Plus,2014,Bangalore,102500,petrol,manual,421000,8470.0
Ford,EcoSportTitanium + 1.5L Ti-VCT AT,2018,Bangalore,74000,petrol,automatic,815000,13878.0
Maruti,Alto 800Vxi,2014,Bangalore,58500,petrol,manual,236000,5254.0
Ford,EcoSportTitanium 1.5L Ti-VCT,2021,Bangalore,74000,petrol,manual,892000,15190.0
Renault,KwidRXT,2015,Bangalore,72000,petrol,manual,265000,4823.0
Maruti,Vitara BrezzaZDi Plus Dual Tone AGS,2018,Bangalore,81500,diesel,automatic,798000,13589.0
Hyundai,Creta1.6 SX Plus Auto Petrol,2016,Bangalore,53000,petrol,automatic,849000,14457.0
Volkswagen,PoloHighline1.2L (P),2016,Bangalore,47500,petrol,manual,557000,8892.0
Kia,SeltosGTX Plus DCT,2020,Bangalore,51000,petrol,automatic,1292000,22223.0
Honda,Amaze1.2 VX i-VTEC,2023,Bangalore,15000,petrol,manual,825000,14049.0
Honda,CityVX,2016,Bangalore,144500,petrol,manual,521000,9483.0
Maruti,Alto 800VXi,2022,Bangalore,34500,petrol,manual,403000,7202.0
